,ligand_name,ligand_smiles,electrophile_name,electrophile_id,electrophile_smiles,nucleophile_name,nucleophile_id,nucleophile_smiles,product_smiles,yield,A-caPhos,BrettPhos,CX-FBu,CX-PICy,Cy-DavePhos,Cy-vBRIDP,Kwong,MeO-KITPHOS,P(o-Anis)3,Et-PhenCar-Phos,JackiePhos,"P(3,5-CF3-Ph)3",P(fur)3,Ph-PhenCar-Phos,PPh2Me,PPhtBu2,tBPh-CPhos,PPhMe2,Cy-BippyPhos,PCy3 HBF4,CgMe-PPh,PPh3,X-Phos,PnBu3 HBF4,e1,e2,e3,e5,e9,e4,e7,e10,nD,nB,nC,nA,nE,nF,nI,nG
1217,PPhMe2,CP(C)c1ccccc1,1-Bromo-2-fluorobenzene,e7,Fc1ccccc1Br,1-Methylimidazole,nA,Cn1ccnc1,Cn1cncc1-c1ccccc1F,23.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1040,P(o-Anis)3,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,3-Bromo-5-(trifluoromethyl)pyridine,e10,FC(F)(F)c1cncc(Br)c1,4-(1H-Imidazol-1-yl)benzonitrile,nG,N#Cc1ccc(-n2ccnc2)cc1,N#Cc1ccc(-n2cncc2-c2cncc(C(F)(F)F)c2)cc1,3.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1067,"P(3,5-CF3-Ph)3",FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,1-(Difluoromethyl)-2-phenyl-1H-imidazole,nF,FC(F)n1ccnc1-c1ccccc1,CC(=O)c1ccc(-c2cnc(-c3ccccc3)n2C(F)F)s1,53.26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1452,P(fur)3,c1coc(P(c2ccco2)c2ccco2)c1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,1-(4-Nitrophenyl)-2-phenylimidazole,nI,O=[N+]([O-])c1ccc(-n2ccnc2-c2ccccc2)cc1,CC(=O)c1ccc(-c2cnc(-c3ccccc3)n2-c2ccc([N+](=O)[O-])cc2)s1,80.89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
390,Kwong,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,1-Benzyl-5-bromo-1H-indole,e9,Brc1ccc2c(ccn2Cc2ccccc2)c1,"1-Benzyl-2,4-dimethyl-1H-imidazole",nE,Cc1cn(Cc2ccccc2)c(C)n1,Cc1nc(C)n(Cc2ccccc2)c1-c1ccc2c(ccn2Cc2ccccc2)c1,16.43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
332,CgMe-PPh,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,3-Bromo-5-(trifluoromethyl)pyridine,e10,FC(F)(F)c1cncc(Br)c1,1-Methylimidazole,nA,Cn1ccnc1,Cn1cncc1-c1cncc(C(F)(F)F)c1,16.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1230,Kwong,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,1-Bromo-2-fluorobenzene,e7,Fc1ccccc1Br,1-Isopropylimidazole,nB,CC(C)n1ccnc1,CC(C)n1cncc1-c1ccccc1F,1.94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
484,Cy-DavePhos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,1-Benzyl-5-bromo-1H-indole,e9,Brc1ccc2c(ccn2Cc2ccccc2)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3c(ccn3Cc3ccccc3)c2)n1C,74.43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
255,PPhtBu2,CC(C)(C)P(c1ccccc1)C(C)(C)C,2-Bromobiphenyl,e4,Brc1ccccc1-c1ccccc1,1-Methylimidazole,nA,Cn1ccnc1,Cn1cncc1-c1ccccc1-c1ccccc1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
858,Cy-BippyPhos,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,3-Bromo-5-(trifluoromethyl)pyridine,e10,FC(F)(F)c1cncc(Br)c1,1-(4-Nitrophenyl)-2-phenylimidazole,nI,O=[N+]([O-])c1ccc(-n2ccnc2-c2ccccc2)cc1,O=[N+]([O-])c1ccc(-n2c(-c3cncc(C(F)(F)F)c3)cnc2-c2ccccc2)cc1,79.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
