,ligand_name,ligand_smiles,electrophile_name,electrophile_id,electrophile_smiles,nucleophile_name,nucleophile_id,nucleophile_smiles,product_smiles,yield,A-caPhos,BrettPhos,CX-FBu,CX-PICy,Cy-DavePhos,Cy-vBRIDP,Kwong,MeO-KITPHOS,P(o-Anis)3,Et-PhenCar-Phos,JackiePhos,"P(3,5-CF3-Ph)3",P(fur)3,Ph-PhenCar-Phos,PPh2Me,PPhtBu2,tBPh-CPhos,PPhMe2,Cy-BippyPhos,PCy3 HBF4,CgMe-PPh,PPh3,X-Phos,PnBu3 HBF4,e1,e2,e3,e5,e9,e4,e7,e10,nD,nB,nC,nA,nE,nF,nI,nG
854,PPh2Me,CP(c1ccccc1)c1ccccc1,3-Bromo-5-(trifluoromethyl)pyridine,e10,FC(F)(F)c1cncc(Br)c1,1-(4-Nitrophenyl)-2-phenylimidazole,nI,O=[N+]([O-])c1ccc(-n2ccnc2-c2ccccc2)cc1,O=[N+]([O-])c1ccc(-n2c(-c3cncc(C(F)(F)F)c3)cnc2-c2ccccc2)cc1,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
821,Cy-vBRIDP,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,1-Benzyl-5-bromo-1H-indole,e9,Brc1ccc2c(ccn2Cc2ccccc2)c1,1-(4-Nitrophenyl)-2-phenylimidazole,nI,O=[N+]([O-])c1ccc(-n2ccnc2-c2ccccc2)cc1,O=[N+]([O-])c1ccc(-n2c(-c3ccc4c(ccn4Cc4ccccc4)c3)cnc2-c2ccccc2)cc1,65.35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,PPh2Me,CP(c1ccccc1)c1ccccc1,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,3.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
152,P(o-Anis)3,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,1-Methyl-1H-imidazole-4-carbonitrile,nC,Cn1cnc(C#N)c1,CCOC(=O)c1cc(-c2c(C#N)ncn2C)cn1CC,26.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
154,JackiePhos,COc1ccc(OC)c(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,1-Methyl-1H-imidazole-4-carbonitrile,nC,Cn1cnc(C#N)c1,CCOC(=O)c1cc(-c2c(C#N)ncn2C)cn1CC,17.17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
942,Kwong,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,1-Benzyl-5-bromo-1H-indole,e9,Brc1ccc2c(ccn2Cc2ccccc2)c1,4-(1H-Imidazol-1-yl)benzonitrile,nG,N#Cc1ccc(-n2ccnc2)cc1,N#Cc1ccc(-n2cncc2-c2ccc3c(ccn3Cc3ccccc3)c2)cc1,46.15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
977,PPhMe2,CP(C)c1ccccc1,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,4-(1H-Imidazol-1-yl)benzonitrile,nG,N#Cc1ccc(-n2ccnc2)cc1,CCOC(=O)c1cc(-c2cncn2-c2ccc(C#N)cc2)cn1CC,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1223,PnBu3 HBF4,CCCCP(CCCC)CCCC,1-Bromo-2-fluorobenzene,e7,Fc1ccccc1Br,1-Methylimidazole,nA,Cn1ccnc1,Cn1cncc1-c1ccccc1F,17.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
37,Ph-PhenCar-Phos,c1ccc(P(c2ccccc2)c2ccccc2-n2c3ccccc3c3ccccc32)cc1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
317,Cy-vBRIDP,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,3-Bromo-5-(trifluoromethyl)pyridine,e10,FC(F)(F)c1cncc(Br)c1,1-Methylimidazole,nA,Cn1ccnc1,Cn1cncc1-c1cncc(C(F)(F)F)c1,71.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
