,base_smiles,ligand_smiles,substrate_smiles,additive_smiles,product_smiles,yield,additive_id,substrate_id,base_name,ligand_name,*Cl,*Br,*I,*OC,*CC,*c1ccccn1,*c1cccnc1,*C(F)(F)F,P2Et,BTMG,MTBD,XPhos,tBuXPhos,tBuBrettPhos,AdBrettPhos,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
2145,CN1CCCN2CCCN=C12,CC(C1=C(C2=C(OC)C=CC(OC)=C2P(C34CC5CC(C4)CC(C5)C3)C67CC8CC(C7)CC(C8)C6)C(C(C)C)=CC(C(C)C)=C1)C,FC(F)(F)c1ccc(Cl)cc1,o1ncc2ccccc12,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,15.85078385,a12,s1,MTBD,AdBrettPhos,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1044,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C,Clc1ccccn1,COC(=O)c1oncc1,Cc1ccc(Nc2ccccn2)cc1,18.18990312,a8,s10,P2Et,tBuXPhos,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3586,CN1CCCN2CCCN=C12,CC(C1=C(C2=C(OC)C=CC(OC)=C2P(C34CC5CC(C4)CC(C5)C3)C67CC8CC(C7)CC(C8)C6)C(C(C)C)=CC(C(C)C)=C1)C,FC(F)(F)c1ccc(Br)cc1,COC(=O)c1cc(on1)c2sccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,25.67305216,a20,s2,MTBD,AdBrettPhos,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1124,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC,Ic1cccnc1,Cc1oncc1,Cc1ccc(Nc2cccnc2)cc1,92.20931063,a5,s15,MTBD,tBuBrettPhos,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
751,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,FC(F)(F)c1ccc(Br)cc1,Cc1oncc1,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,22.58353247,a5,s2,MTBD,XPhos,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2264,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Ic1cccnc1,C(N(Cc1ccccc1)c2ccon2)c3ccccc3,Cc1ccc(Nc2cccnc2)cc1,41.01536377,a15,s15,P2Et,XPhos,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1924,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC,COc1ccc(Br)cc1,CCOC(=O)c1conc1,COc1ccc(Nc2ccc(C)cc2)cc1,15.37805239,a11,s5,MTBD,tBuBrettPhos,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1498,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Brc1cccnc1,CCOC(=O)c1cnoc1C,Cc1ccc(Nc2cccnc2)cc1,8.798104801000001,a10,s14,P2Et,XPhos,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3364,CN1CCCN2CCCN=C12,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C(C)(C)C)C(C)(C)C)C(OC)=CC=C2OC,COc1ccc(Br)cc1,Cc1onc(c1)n2cccc2,COc1ccc(Nc2ccc(C)cc2)cc1,47.15627467,a19,s5,MTBD,tBuBrettPhos,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
586,CN(C)P(N(C)C)(N(C)C)=NP(N(C)C)(N(C)C)=NCC,CC(C1=C(C2=C(OC)C=CC(OC)=C2P(C34CC5CC(C4)CC(C5)C3)C67CC8CC(C7)CC(C8)C6)C(C(C)C)=CC(C(C)C)=C1)C,FC(F)(F)c1ccc(Br)cc1,o1nccc1c2ccccc2,Cc1ccc(Nc2ccc(C(F)(F)F)cc2)cc1,8.742546332,a2,s2,P2Et,AdBrettPhos,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
790,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1C2=C(P(C3CCCCC3)C4CCCCC4)C=CC=C2,Brc1ccccn1,o1cc2ccccc2n1,Cc1ccc(Nc2ccccn2)cc1,34.38173794,a6,s11,BTMG,XPhos,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C1=C(C2=C(OC)C=CC(OC)=C2P(C34CC5CC(C4)CC(C5)C3)C67CC8CC(C7)CC(C8)C6)C(C(C)C)=CC(C(C)C)=C1)C,COc1ccc(I)cc1,CCOC(=O)c1ccon1,COc1ccc(Nc2ccc(C)cc2)cc1,37.49278178,a9,s6,BTMG,AdBrettPhos,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
248,CN(C)/C(N(C)C)=N\C(C)(C)C,CC(C)C(C=C(C(C)C)C=C1C(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C(C)(C)C,CCc1ccc(I)cc1,o1nccc1c2ccccc2,CCc1ccc(Nc2ccc(C)cc2)cc1,72.39052533,a2,s9,BTMG,tBuXPhos,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
